"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","mxpsd","max","fog","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,20,52,0,0.340173749367867
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,19,46,0,0.948172341350291
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,15,46.9,0,1.3383803929211
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,9.9,48.9,1,0.403695990321255
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,27,48.9,1,-0.158929572408749
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,15,43,0,1.36560421047255
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,13,43,0,0.902799312097871
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,24.1,43,0,1.32023118122013
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,22,42.1,0,1.92822977320256
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,17.1,50,0,1.93730437905304
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,21,53.1,1,1.18411209346287
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,26,55.9,1,0.748531012639644
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,13,57,0,1.51987250993078
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,8.9,44.1,0,1.71043923279094
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,14,51.1,0,1.81025989714626
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,28.9,48.9,1,2.16416952531514
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,28.9,50,0,2.33658703647433
"18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,17.1,33.1,0,4.22410505337499
