"","day","mxpsd","max","fog","NUM_COLLISIONS"
"3092",3,20,52,0,0.340173749367867
"2810",4,19,46,0,0.948172341350291
"1776",5,15,46.9,0,1.3383803929211
"341",6,9.9,48.9,1,0.403695990321255
"4034",7,27,48.9,1,-0.158929572408749
"1696",1,15,43,0,1.36560421047255
"1063",2,13,43,0,0.902799312097871
"3761",3,24.1,43,0,1.32023118122013
"3595",4,22,42.1,0,1.92822977320256
"2253",5,17.1,50,0,1.93730437905304
"3472",6,21,53.1,1,1.18411209346287
"3964",7,26,55.9,1,0.748531012639644
"1074",1,13,57,0,1.51987250993078
"244",2,8.9,44.1,0,1.71043923279094
"1596",3,14,51.1,0,1.81025989714626
"4124",4,28.9,48.9,1,2.16416952531514
"4106",5,28.9,50,0,2.33658703647433
"2509",6,17.1,33.1,0,4.22410505337499
"3560",7,22,46.9,0,0.467218231274643
"3187",1,20,46.9,0,0.73945640678916
"1915",2,15.9,34,0,2.24584097796949
"101",3,8.9,34,0,1.63784238598707
"527",4,11.1,45,0,1.29300736366868
"26",5,8,46,1,1.95545359075401
"3202",6,20,48.9,0,0.675934165835773
"3051",7,19,51.1,1,0.812053253593032
"2788",1,18.1,51.1,0,1.30208196951916
"2340",2,17.1,45,0,0.866500888695936
"2330",3,17.1,43,0,1.69229002108997
"1680",4,15,37,0,1.96452819660449
"188",5,8.9,39.9,0,1.9010059556511
"953",6,12,44.1,0,0.911873917948355
"948",7,12,42.1,0,0.748531012639644
"1703",1,15,45,0,2.27306479552094
"1273",2,14,48,1,1.41097723972497
"1927",3,15.9,48,0,1.12058985250949
"3892",4,25.1,48.9,1,2.13694570776369
"4265",5,39,55.9,1,2.68142205879272
"4197",6,32.1,39,0,1.42912645142594
"1142",7,13,39.9,0,0.585188107330934
"3193",1,20,46.9,0,2.39103467157724
"344",2,9.9,48.9,1,1.35652960462207
"2698",3,18.1,48.9,0,1.17503748761239
"2338",4,17.1,45,0,1.77396147374433
"3876",5,25.1,45,0,2.93551102260627
"2321",6,17.1,39,0,1.19318669931336
"2879",7,19,43,0,0.712232589237709
"1272",1,14,48,0,0.27665150841448
"3077",2,20,48,0,1.08429142910755
"2242",3,17.1,48,0,1.52894711578126
"2407",4,17.1,46.9,0,1.26578354611723
"2784",5,18.1,33.1,0,1.77396147374433
"3136",6,20,43,0,0.893724706247387
"702",7,12,48,0,0.757605618490128
"456",1,11.1,50,1,1.67414080938901
"105",2,8.9,50,1,1.98267740830546
"703",3,12,48,1,1.27485815196771
"4102",4,28,51.1,1,2.47270612423159
"4050",5,27,51.1,0,2.00990122585691
"2955",6,19,39.9,0,1.3383803929211
"2623",7,18.1,39,0,1.03891839985513
"2821",1,19,48,0,2.30936321892288
"3082",2,20,50,1,2.19139334286659
"3992",3,26,51.1,1,2.10064728436175
"2793",4,18.1,51.1,0,2.00082662000643
"3936",5,26,50,0,3.30756986247611
"4271",6,41,48.9,1,1.87378213809965
"3190",7,20,46.9,0,0.902799312097871
"2557",1,18.1,50,0,2.15509491946465
"2263",2,17.1,52,0,1.2839327578182
"2572",3,18.1,52,0,1.49264869237933
"1251",4,13,51.1,0,1.3383803929211
"3493",5,22,52,1,2.20046794871707
"3630",6,22.9,52,1,0.567038895629966
"1619",7,15,50,0,0.204054661610609
"1608",1,15,46,0,0.630561136583353
"2571",2,18.1,52,1,0.594262713181418
"458",3,11.1,52,0,-0.0954073314553612
"4004",4,27,50,1,0.27665150841448
"2838",5,19,52,1,-0.0228104846514897
"3499",6,22,54,0,-0.639883682484397
"2701",7,18.1,37.9,0,-1.53826966168231
"3982",1,26,44.1,0,-0.757853558540688
"4060",2,28,48,0,-0.975644098952303
"2550",3,18.1,48,0,-1.27510609201827
"3682",4,22.9,46.9,0,-1.10268858085908
"2646",5,18.1,59,0,-1.03009173405521
"306",6,9.9,59,0,-1.13898700426101
"3726",7,22.9,53.1,0,-1.47474742072892
"3198",1,20,48.9,0,-1.31140451542021
"3199",2,20,48.9,0,-1.36585215052311
"3911",3,25.1,44.1,0,-1.39307596807456
"3870",4,25.1,45,0,-1.29325530371924
"4227",5,34,45,0,-1.06639015745714
"3944",6,26,45,0,-1.38400136222408
"106",7,8.9,50,0,-1.94662692495408
"1362",1,14,55,0,-1.64716493188811
"1801",2,15,57.9,0,-1.62901572018715
"1483",3,14,57.9,0,-1.66531414358908
"4140",4,28.9,51.1,1,-1.86495547229973
"4169",5,29.9,51.1,0,-1.75606020209392
"3462",6,21,51.1,0,-1.70161256699102
"1902",7,15,53.1,0,-1.83773165474828
"4262",1,39,57,0,-1.54734426753279
"4119",2,28.9,57,0,-1.57456808508424
"1270",3,14,48,0,-1.53826966168231
"2264",4,17.1,52,0,-1.54734426753279
"3627",5,22.9,52,0,-1.3749267563736
"3685",6,22.9,46.9,0,-1.66531414358908
"3750",7,24.1,52,0,-1.87403007815021
"2834",1,19,52,0,-1.52919505583182
"3752",2,24.1,52,0,-1.70161256699102
"4168",3,29.9,51.1,0,-1.45659820902795
"2948",4,19,48.9,0,-1.81958244304731
"3624",5,22.9,50,0,-1.23880766861634
"1715",6,15,59,0,-1.42029978562602
"3532",7,22,59,0,-1.52919505583182
"4005",1,27,52,1,-1.61086650848618
"4171",2,31.1,50,0,-1.12083779256005
"800",3,12,55,0,-1.55641887338327
"3524",4,22,55,0,-1.22973306276585
"3967",5,26,55.9,1,-1.11176318670956
"3353",6,21,61,1,-1.08453936915811
"2043",7,15.9,61,0,-1.28418069786876
"2126",1,15.9,69.1,0,-1.22065845691537
"2973",2,19,69.1,0,-1.22065845691537
"1368",3,14,57,0,-1.12991239841053
"2020",4,15.9,55,0,-1.21158385106488
"2715",5,18.1,55.9,0,-1.19343463936392
"4088",6,28,55.9,0,-1.45659820902795
"3941",7,26,54,0,-1.32047912127069
"3897",1,25.1,57.9,0,-1.22973306276585
"3695",2,22.9,57.9,0,-1.06639015745714
"3768",3,24.1,55,0,-0.875823434596979
"2194",4,15.9,60.1,0,-1.24788227446682
"1591",5,14,62.1,0,-0.603585259082461
"2930",6,19,70,0,-0.83045040534456
"463",7,11.1,54,0,-1.24788227446682
"307",1,9.9,61,0,-1.12083779256005
"3782",2,24.1,61,0,-0.721555135138752
"2030",3,15.9,57,0,-1.05731555160666
"1073",4,13,57,0,-0.875823434596979
"1956",5,15.9,64,0,-0.403943930371815
"3473",6,21,66.2,1,-1.04824094575617
"2663",7,18.1,66,0,-1.01194252235424
"1388",1,14,66,0,-0.857674222896011
"78",2,8,69.1,1,-0.766928164391172
"197",3,8.9,69.1,1,-0.630809076633913
"1220",4,13,66.9,1,-0.903047252148431
"2166",5,15.9,66.9,1,-0.458391565474718
"2278",6,17.1,64,1,-0.748778952690204
"3431",7,21,66.9,0,-0.912121857998915
"3018",1,19,66.9,0,-1.02101712820472
"681",2,11.1,62.1,0,-1.01194252235424
"1866",3,15,66.9,0,-0.839525011195044
"1204",4,13,73.9,0,-0.57636144153101
"642",5,11.1,73.9,1,-0.549137623979558
"1188",6,13,64.9,1,-0.422093142072783
"2670",7,18.1,66,1,-0.930271069699883
"489",1,11.1,73,0,-0.667107500035849
"124",2,8.9,73,0,-0.521913806428106
"732",3,12,72,1,-0.639883682484397
"2926",4,19,70,1,-0.521913806428106
"1098",5,13,70,1,-0.285974054315524
"1406",6,14,70,1,-0.240601025063104
"3176",7,20,70,0,-0.730629740989236
"2915",1,19,63,0,-0.776002770241656
"2725",2,18.1,69.1,0,-0.449316959624235
"896",3,12,71.1,0,-0.585436047381493
"208",4,8.9,71.1,1,-0.748778952690204
"756",5,12,73,1,-0.0228104846514897
"1851",6,15,73.9,1,-0.567286835680526
"235",7,8.9,75.9,1,-0.57636144153101
"88",1,8,75.9,0,-0.122631149006813
"662",2,11.1,75.9,1,-0.158929572408749
"1179",3,13,71.1,1,-0.0772581197543933
"1035",4,13,77,0,-0.521913806428106
"762",5,12,77,0,0.258502296713512
"1022",6,13,73,0,-0.322272477717459
"1659",7,15,73,0,-0.621734470783429
"1542",1,14,73.9,1,-0.0681835139039094
"640",2,11.1,73.9,0,-0.27689944846504
"274",3,9.9,73,1,-0.449316959624235
"1116",4,13,75,1,0.285726114264964
"2609",5,18.1,77,1,-0.0591089080534255
"1041",6,13,77,1,-0.27689944846504
"493",7,11.1,73,1,-0.168004178259233
"2932",1,19,75,1,-0.467466171325202
"837",2,12,75,0,-0.594510653231977
"1198",3,13,73.9,0,-0.376720112820363
"620",4,11.1,78.1,0,0.0407117563018978
"1822",5,15,78.1,1,-0.113556543156329
"2480",6,17.1,75.9,1,-0.313197871866976
"1990",7,15.9,77,1,-0.149854966558265
"505",1,11.1,77,1,-0.168004178259233
"1769",2,15,79,1,0.104233997255285
"2938",3,19,79,0,-0.367645506969879
"1402",4,14,70,0,0.122383208956253
